epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,8687.76,0.80141,0.65576,2.03733,0.8151,0.69608,0.78851,0.61975,0.75004,0.66051,2.05619,0.00458416,0.00458416,0.00458416
55,8849.59,0.80132,0.65985,2.0398,0.81233,0.69916,0.78866,0.61997,0.74896,0.65984,2.05544,0.0044296,0.0044296,0.0044296
56,9011.4,0.79553,0.65233,2.02494,0.81109,0.70167,0.7894,0.62095,0.74768,0.6592,2.05465,0.00427565,0.00427565,0.00427565
57,9172.98,0.79471,0.65473,2.03075,0.81262,0.70048,0.78958,0.62132,0.74666,0.65827,2.05444,0.00412246,0.00412246,0.00412246
58,9334.22,0.79126,0.65549,2.02793,0.81348,0.70054,0.7899,0.62139,0.74572,0.65765,2.05411,0.00397019,0.00397019,0.00397019
59,9494.65,0.77852,0.64071,2.02528,0.81515,0.69966,0.79013,0.62178,0.74505,0.65658,2.05374,0.00381899,0.00381899,0.00381899
60,9655.66,0.78742,0.64796,2.01636,0.81657,0.69985,0.79071,0.62245,0.74441,0.65582,2.05311,0.00366899,0.00366899,0.00366899
61,9816.42,0.78182,0.64176,2.02064,0.8157,0.70117,0.79115,0.62295,0.74362,0.65508,2.05311,0.00352037,0.00352037,0.00352037
62,9979.53,0.77183,0.63399,2.01016,0.81611,0.70059,0.7911,0.62331,0.74306,0.65446,2.05216,0.00337325,0.00337325,0.00337325
63,10140.7,0.77226,0.6358,2.01176,0.81595,0.7004,0.79132,0.62357,0.74232,0.65374,2.05139,0.00322778,0.00322778,0.00322778
64,10301.7,0.77429,0.63677,2.00954,0.816,0.70085,0.7915,0.62398,0.74166,0.65333,2.0511,0.00308412,0.00308412,0.00308412
65,10462.6,0.76485,0.62889,1.99749,0.81573,0.70123,0.79215,0.62443,0.74082,0.6528,2.05033,0.00294239,0.00294239,0.00294239
66,10623.5,0.76549,0.62655,2.00622,0.81564,0.7023,0.79237,0.62476,0.74018,0.65213,2.04981,0.00280275,0.00280275,0.00280275
67,10784.3,0.75938,0.62507,2.00554,0.81773,0.70104,0.79279,0.62515,0.73946,0.65158,2.04934,0.00266532,0.00266532,0.00266532
68,10946,0.75985,0.62151,1.9962,0.81734,0.70159,0.79293,0.62544,0.73887,0.65121,2.04877,0.00253024,0.00253024,0.00253024
69,11107.3,0.75938,0.62416,1.99893,0.81666,0.70167,0.79296,0.62568,0.73826,0.65088,2.04823,0.00239766,0.00239766,0.00239766
70,11269,0.75205,0.61638,1.98703,0.81781,0.7007,0.79329,0.62585,0.73772,0.65022,2.04783,0.00226769,0.00226769,0.00226769
71,11430,0.74359,0.60883,1.98914,0.8162,0.70148,0.79335,0.62601,0.73706,0.64984,2.04735,0.00214046,0.00214046,0.00214046
72,11591,0.7461,0.61023,1.9994,0.81745,0.70117,0.79346,0.6262,0.73663,0.64943,2.04696,0.00201611,0.00201611,0.00201611
73,11752.7,0.74641,0.60869,1.98741,0.81845,0.70073,0.79385,0.6265,0.7362,0.6491,2.04671,0.00189475,0.00189475,0.00189475
74,11913.7,0.73927,0.60395,1.98415,0.81713,0.70136,0.79391,0.62678,0.73559,0.6486,2.04621,0.00177651,0.00177651,0.00177651
75,12074.2,0.73795,0.60278,1.98453,0.81802,0.70123,0.79403,0.62709,0.73504,0.6483,2.04573,0.00166149,0.00166149,0.00166149
76,12235.2,0.73594,0.598,1.99008,0.81833,0.70144,0.79428,0.62728,0.73447,0.64767,2.04511,0.00154982,0.00154982,0.00154982
77,12396.4,0.73582,0.59818,1.9666,0.81758,0.70188,0.79438,0.62762,0.73401,0.64717,2.04448,0.00144161,0.00144161,0.00144161
78,12557.8,0.73193,0.5962,1.96991,0.81703,0.70223,0.79463,0.62805,0.7334,0.64675,2.0438,0.00133695,0.00133695,0.00133695
79,12718.5,0.73225,0.59388,1.98297,0.81781,0.70223,0.7947,0.62824,0.73281,0.64646,2.04316,0.00123596,0.00123596,0.00123596
80,12879.6,0.73458,0.59299,1.97262,0.81722,0.70297,0.79514,0.62858,0.73223,0.64604,2.04274,0.00113873,0.00113873,0.00113873
81,13041.6,0.72279,0.5865,1.96852,0.81825,0.70267,0.79524,0.62881,0.73168,0.64571,2.04261,0.00104537,0.00104537,0.00104537
82,13203.4,0.72446,0.58728,1.96867,0.81826,0.70299,0.79546,0.62922,0.7313,0.64534,2.04213,0.000955951,0.000955951,0.000955951
83,13365.2,0.72122,0.58553,1.9647,0.81668,0.70431,0.79574,0.62938,0.731,0.64502,2.04146,0.000870577,0.000870577,0.000870577
84,13526.8,0.71732,0.58408,1.95604,0.81839,0.70355,0.79573,0.62957,0.73045,0.64471,2.04105,0.000789327,0.000789327,0.000789327
85,13688,0.71619,0.57862,1.96906,0.81837,0.70374,0.79584,0.62984,0.73015,0.64425,2.04058,0.000712282,0.000712282,0.000712282
86,13849.9,0.71514,0.57812,1.95755,0.81795,0.70399,0.79596,0.63008,0.72989,0.64397,2.04006,0.000639518,0.000639518,0.000639518
87,14011.8,0.71439,0.57853,1.96392,0.81724,0.70437,0.79591,0.63048,0.72941,0.64355,2.0397,0.000571106,0.000571106,0.000571106
88,14173.3,0.71447,0.57899,1.95529,0.81761,0.70525,0.79652,0.63073,0.72908,0.64312,2.03961,0.000507115,0.000507115,0.000507115
89,14335.1,0.70695,0.57629,1.95551,0.81729,0.70471,0.79646,0.63081,0.72867,0.6428,2.03938,0.000447606,0.000447606,0.000447606
90,14495.9,0.71034,0.57368,1.96137,0.81748,0.70462,0.79647,0.63112,0.72844,0.64265,2.03899,0.00039264,0.00039264,0.00039264
91,14644.2,0.68895,0.58443,1.99785,0.81783,0.70456,0.79658,0.63131,0.72807,0.64234,2.03848,0.00034227,0.00034227,0.00034227
92,14789.9,0.68454,0.58234,1.9998,0.81751,0.70475,0.79646,0.63126,0.72778,0.64204,2.03818,0.000296546,0.000296546,0.000296546
93,14935.8,0.68367,0.58032,1.98459,0.81718,0.70477,0.79661,0.63122,0.72759,0.64181,2.03785,0.000255513,0.000255513,0.000255513
94,15081.3,0.67808,0.57482,1.9793,0.81721,0.70475,0.79628,0.63142,0.72707,0.64157,2.03733,0.000219212,0.000219212,0.000219212
95,15227,0.67535,0.57246,1.99005,0.81626,0.70537,0.79647,0.63137,0.72673,0.64134,2.03705,0.000187678,0.000187678,0.000187678
96,15372.9,0.67913,0.57492,1.98121,0.81671,0.70525,0.79677,0.63145,0.72641,0.64101,2.03692,0.000160943,0.000160943,0.000160943
97,15518.4,0.67818,0.57302,1.98516,0.81748,0.70487,0.79688,0.63151,0.7262,0.64076,2.03667,0.000139032,0.000139032,0.000139032
98,15663.5,0.67703,0.57261,1.98099,0.81821,0.70468,0.79713,0.63168,0.72609,0.64058,2.03659,0.000121968,0.000121968,0.000121968
99,15809.7,0.67973,0.57182,1.97677,0.81979,0.70387,0.79733,0.63195,0.726,0.64027,2.03634,0.000109768,0.000109768,0.000109768
100,15954.9,0.67273,0.56826,1.98208,0.81982,0.70399,0.79715,0.63204,0.7258,0.64007,2.03626,0.000102443,0.000102443,0.000102443
