epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,15134.7,0.78184,0.63289,1.96161,0.80432,0.59558,0.66312,0.53412,0.81704,0.6996,2.02972,0.00034227,0.00034227,0.00034227
92,15283.7,0.77727,0.61923,1.9587,0.79692,0.59974,0.66357,0.53375,0.81712,0.69966,2.02921,0.000296546,0.000296546,0.000296546
93,15434.2,0.77583,0.61711,1.96106,0.80239,0.59857,0.66293,0.53346,0.81718,0.70027,2.0294,0.000255513,0.000255513,0.000255513
94,15585.8,0.77698,0.6221,1.95869,0.80834,0.59349,0.66222,0.53292,0.81749,0.70088,2.02999,0.000219212,0.000219212,0.000219212
95,15735.4,0.77185,0.6193,1.96531,0.81558,0.58986,0.66202,0.53256,0.81769,0.70123,2.03027,0.000187678,0.000187678,0.000187678
96,15886.6,0.7703,0.61674,1.9559,0.81294,0.58867,0.66144,0.53236,0.81797,0.70153,2.0306,0.000160943,0.000160943,0.000160943
97,16039.4,0.7731,0.61894,1.9611,0.81197,0.58901,0.66123,0.53234,0.81848,0.70165,2.0306,0.000139032,0.000139032,0.000139032
98,16184.9,0.76548,0.61287,1.95074,0.81157,0.59091,0.66127,0.53218,0.81871,0.70152,2.03083,0.000121968,0.000121968,0.000121968
99,16334.6,0.77017,0.6164,1.95868,0.809,0.59127,0.66107,0.53244,0.81868,0.70149,2.0308,0.000109768,0.000109768,0.000109768
100,16484.2,0.76356,0.61,1.9371,0.81016,0.59056,0.66061,0.53237,0.81892,0.70186,2.03075,0.000102443,0.000102443,0.000102443
